source,li_sto,la_sto,zr_sto,li_dop_sto,la_dop_sto,zr_dop_sto,rel_dens_%,conductivity,log_cond,good_cond,li_dopant,la_dopant,zr_dopant,li_dop_ionicrad,la_dop_ionicrad,zr_dop_ionicrad,li_dop_enev,la_dop_enev,zr_dop_enev
10.1039/C9SE01162E,6.5,3,1.8,0.1,0,0.2,93.34,6.75E-04,-3.170696227,1,ga,,nb,61,0,78,1.81,0,1.6
10.1016/j.ssi.2014.10.009,7.1,3,1.9,0,0,0.2,,2.40E-04,-3.619788758,0,,,cr,0,0,75.5,0,0,1.66
10.1016/j.electacta.2018.03.101,7.2,3,1.8,0,0,0.2,,2.30E-04,-3.638272164,0,,,gd,0,0,107.8,0,0,1.2
10.1016/j.ceramint.2018.01.065,7,3,1.8,0,0,0.2,89,2.52E-04,-3.598599459,0,,,ge,0,0,67,0,0,2.01
10.1111/jace.14736,6.6,3,1.8,0,0,0.2,92.8,5.09E-04,-3.293282218,1,,,mo,0,0,73,0,0,2.16
10.1039/c3cp50991e,6.8,3,1.8,0,0,0.2,78,5.90E-05,-4.229147988,0,,,sb,0,0,74,0,0,2.05
10.1016/j.ceramint.2018.09.245,6.8,3,1.8,0,0,0.2,88,1.29E-04,-3.88941029,0,,,ta,0,0,78,0,0,1.5
10.1111/jace.13578,6.8,3,1.8,0,0,0.2,74,2.20E-06,-5.657577319,0,,,ta,0,0,78,0,0,1.5
10.1016/j.ssi.2017.11.027,6.8,3,1.8,0,0,0.2,,6.54E-05,-4.184422252,0,,,ta,0,0,78,0,0,1.5
10.1039/C9SE01162E,6.8,3,1.8,0,0,0.2,88.4,3.57E-04,-3.447331784,1,,,nb,0,0,78,0,0,1.6
10.1063/1.4818971,6,3,1.5,0,0,0.15,,2.08E-04,-3.681936665,0,,,w,0,0,74,0,0,2.36
10.1016/j.electacta.2015.08.046,6.7,3,1.85,0,0,0.15,91,2.70E-04,-3.568636236,1,,,w,0,0,74,0,0,2.36
10.1016/j.ceramint.2018.01.065,7,3,1.9,0,0,0.1,88.2,1.49E-04,-3.826813732,0,,,ge,0,0,67,0,0,2.01
10.1111/jace.14736,6.8,3,1.9,0,0,0.1,90.8,2.46E-04,-3.609064893,0,,,mo,0,0,73,0,0,2.16
10.1016/j.ceramint.2017.10.072,6.625,3,1.925,0.1,0,0.075,,2.35E-04,-3.628932138,0,al,,sb,53,0,74,1.61,0,2.05
10.1016/j.ceramint.2017.10.072,6.7,3,1.925,0.075,0,0.075,,3.45E-04,-3.462180905,1,al,,sb,53,0,74,1.61,0,2.05
10.1016/j.ceramint.2017.10.072,6.775,3,1.925,0.05,0,0.075,,4.10E-04,-3.387216143,1,al,,sb,53,0,74,1.61,0,2.05
10.3724/SP.J.1077.2013.13428,6.925,3,1.925,0,0,0.075,,3.40E-04,-3.468521083,1,,,sb,0,0,74,0,0,2.05
10.1016/j.ceramint.2017.10.072,6.925,3,1.925,0,0,0.075,,2.65E-04,-3.576754126,0,,,sb,0,0,74,0,0,2.05
10.1016/j.matlet.2018.08.006,7.06,3,1.94,0,0,0.06,92.9,2.46E-04,-3.609064893,0,,,sm,0,0,109.8,0,0,1.17
10.1016/j.elecom.2011.08.014,7.06,3,1.94,0,0,0.06,,9.56E-04,-3.019542108,1,,,y,0,0,104,0,0,1.22
10.1016/j.jpowsour.2012.12.076,6.4,2.4,2,0,0.6,0,96,1.26E-05,-4.899629455,0,,ce,,0,111,0,0,1.12,0
10.1016/j.ssi.2019.05.027,6.8,2.6,2,0.2,0.4,0,,3.03E-05,-4.518557371,0,ga,sr,,61,140,0,1.81,0.95,0
10.1016/j.jpowsour.2012.12.076,6.6,2.6,2,0,0.4,0,96,1.44E-05,-4.841637508,0,,ce,,0,111,0,0,1.12,0
10.1016/j.ssi.2019.05.027,6.7,2.7,2,0.2,0.3,0,,1.95E-04,-3.709965389,0,ga,sr,,61,140,0,1.81,0.95,0
10.1021/acsami.7b00614,6.5,2.8,2,0.3,0.2,0,94.3,1.16E-03,-2.935542011,1,ga,rb,,61,175,0,1.81,0.82,0
10.1016/j.ssi.2019.05.027,6.6,2.8,2,0.2,0.2,0,,3.46E-04,-3.460923901,1,ga,sr,,61,140,0,1.81,0.95,0
10.1021/acsami.7b00614,6.4,2.85,2,0.3,0.15,0,95.7,1.04E-03,-2.982966661,1,ga,rb,,61,175,0,1.81,0.82,0
10.1021/acsami.7b00614,6.3,2.9,2,0.3,0.1,0,95.1,1.53E-03,-2.815308569,1,ga,rb,,61,175,0,1.81,0.82,0
